floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
1900022,AO,data/atlantic/2003/03/nodc_D1900022_037.nc,2003-03-08T06:06:42Z,2003-03-08T06:06:42Z,20.7390,20.7390,-59.1380,-59.1380,10.00,1000.00
1900022,AO,data/atlantic/2003/03/nodc_D1900022_038.nc,2003-03-18T07:36:51Z,2003-03-18T07:36:51Z,21.0280,21.0280,-59.3380,-59.3380,10.00,1000.00
1900022,AO,data/atlantic/2003/03/nodc_D1900022_039.nc,2003-03-28T10:05:44Z,2003-03-28T10:05:44Z,21.0850,21.0850,-59.4940,-59.4940,10.00,1000.00
1900035,AO,data/atlantic/2003/03/nodc_D1900035_053.nc,2003-03-07T10:05:09Z,2003-03-07T10:05:09Z,19.2990,19.2990,-47.7170,-47.7170,10.00,1100.00
1900035,AO,data/atlantic/2003/03/nodc_D1900035_054.nc,2003-03-17T11:05:28Z,2003-03-17T11:05:28Z,19.1390,19.1390,-47.6160,-47.6160,10.00,1100.00
1900035,AO,data/atlantic/2003/03/nodc_D1900035_055.nc,2003-03-27T15:32:10Z,2003-03-27T15:32:10Z,18.9890,18.9890,-47.3480,-47.3480,10.00,1100.00
1900037,AO,data/atlantic/2003/03/nodc_D1900037_045.nc,2003-03-04T05:04:49Z,2003-03-04T05:04:49Z,32.1280,32.1280,-32.5460,-32.5460,10.00,950.00
1900037,AO,data/atlantic/2003/03/nodc_D1900037_046.nc,2003-03-14T05:05:59Z,2003-03-14T05:05:59Z,32.3570,32.3570,-32.6660,-32.6660,10.00,950.00
1900039,AO,data/atlantic/2003/03/nodc_D1900039_045.nc,2003-03-04T22:21:47Z,2003-03-04T22:21:47Z,35.5120,35.5120,-44.6930,-44.6930,10.00,950.00
1900040,AO,data/atlantic/2003/03/nodc_D1900040_045.nc,2003-03-05T10:44:41Z,2003-03-05T10:44:41Z,33.0020,33.0020,-37.6330,-37.6330,10.00,1000.00
1900040,AO,data/atlantic/2003/03/nodc_D1900040_046.nc,2003-03-15T11:50:09Z,2003-03-15T11:50:09Z,33.0620,33.0620,-37.6160,-37.6160,10.00,1000.00
1900040,AO,data/atlantic/2003/03/nodc_D1900040_047.nc,2003-03-25T14:16:33Z,2003-03-25T14:16:33Z,33.0040,33.0040,-37.4510,-37.4510,10.00,1700.00
1900057,AO,data/atlantic/2003/03/nodc_D1900057_012.nc,2003-03-04T16:10:01Z,2003-03-04T16:10:01Z,-35.0900,-35.0900,-22.1580,-22.1580,10.00,1150.00
1900057,AO,data/atlantic/2003/03/nodc_D1900057_013.nc,2003-03-14T19:58:40Z,2003-03-14T19:58:40Z,-34.9460,-34.9460,-21.8780,-21.8780,10.00,1150.00
1900057,AO,data/atlantic/2003/03/nodc_D1900057_014.nc,2003-03-25T01:29:30Z,2003-03-25T01:29:30Z,-34.9570,-34.9570,-21.5930,-21.5930,10.00,1150.00
1900058,AO,data/atlantic/2003/03/nodc_D1900058_012.nc,2003-03-02T21:07:50Z,2003-03-02T21:07:50Z,-34.9080,-34.9080,-10.5930,-10.5930,10.00,1200.00
1900058,AO,data/atlantic/2003/03/nodc_D1900058_013.nc,2003-03-13T00:23:41Z,2003-03-13T00:23:41Z,-34.6770,-34.6770,-10.5170,-10.5170,10.00,1200.00
1900058,AO,data/atlantic/2003/03/nodc_D1900058_014.nc,2003-03-23T05:37:32Z,2003-03-23T05:37:32Z,-34.3680,-34.3680,-10.4490,-10.4490,10.00,1200.00
1900059,AO,data/atlantic/2003/03/nodc_D1900059_009.nc,2003-03-08T01:12:54Z,2003-03-08T01:12:54Z,-7.7050,-7.7050,-15.2100,-15.2100,10.00,1150.00
1900059,AO,data/atlantic/2003/03/nodc_D1900059_010.nc,2003-03-18T04:21:50Z,2003-03-18T04:21:50Z,-7.6060,-7.6060,-15.2910,-15.2910,10.00,1150.00
1900059,AO,data/atlantic/2003/03/nodc_D1900059_011.nc,2003-03-28T08:31:46Z,2003-03-28T08:31:46Z,-7.6440,-7.6440,-15.5660,-15.5660,10.00,1150.00
1900060,AO,data/atlantic/2003/03/nodc_D1900060_009.nc,2003-03-06T07:16:30Z,2003-03-06T07:16:30Z,-12.9390,-12.9390,-9.8490,-9.8490,10.00,1150.00
1900060,AO,data/atlantic/2003/03/nodc_D1900060_010.nc,2003-03-16T13:58:53Z,2003-03-16T13:58:53Z,-12.6970,-12.6970,-10.1110,-10.1110,10.00,1150.00
1900060,AO,data/atlantic/2003/03/nodc_D1900060_011.nc,2003-03-26T15:28:18Z,2003-03-26T15:28:18Z,-12.5170,-12.5170,-10.4010,-10.4010,10.00,1150.00
1900061,AO,data/atlantic/2003/03/nodc_D1900061_009.nc,2003-03-04T20:25:24Z,2003-03-04T20:25:24Z,-19.6950,-19.6950,-2.6030,-2.6030,10.00,1350.00
