floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
13857,AO,data/atlantic/1999/09/nodc_R13857_071.nc,1999-09-07T19:50:55Z,1999-09-07T19:50:55Z,3.7820,3.7820,-27.2740,-27.2740,11.90,966.30
13857,AO,data/atlantic/1999/09/nodc_R13857_072.nc,1999-09-18T19:23:19Z,1999-09-18T19:23:19Z,3.8650,3.8650,-27.4970,-27.4970,11.90,961.20
13857,AO,data/atlantic/1999/09/nodc_R13857_073.nc,1999-09-29T20:02:08Z,1999-09-29T20:02:08Z,4.0860,4.0860,-27.3390,-27.3390,11.90,971.40
13859,AO,data/atlantic/1999/09/nodc_R13859_071.nc,1999-09-08T11:10:34Z,1999-09-08T11:10:34Z,3.8720,3.8720,-33.6770,-33.6770,11.10,932.50
13859,AO,data/atlantic/1999/09/nodc_R13859_072.nc,1999-09-19T11:07:46Z,1999-09-19T11:07:46Z,5.0100,5.0100,-33.5230,-33.5230,11.10,943.30
13859,AO,data/atlantic/1999/09/nodc_R13859_073.nc,1999-09-30T11:28:30Z,1999-09-30T11:28:30Z,5.4760,5.4760,-32.7190,-32.7190,11.10,932.50
15819,AO,data/atlantic/1999/09/nodc_R15819_070.nc,1999-09-11T12:10:50Z,1999-09-11T12:10:50Z,-7.9320,-7.9320,-26.6180,-26.6180,20.00,904.90
15819,AO,data/atlantic/1999/09/nodc_R15819_071.nc,1999-09-22T17:04:17Z,1999-09-22T17:04:17Z,-8.0060,-8.0060,-27.1610,-27.1610,20.00,904.90
15820,AO,data/atlantic/1999/09/nodc_R15820_069.nc,1999-09-01T23:36:13Z,1999-09-01T23:36:13Z,-5.4250,-5.4250,-15.7330,-15.7330,16.60,870.00
15820,AO,data/atlantic/1999/09/nodc_R15820_070.nc,1999-09-12T22:55:22Z,1999-09-12T22:55:22Z,-5.9730,-5.9730,-16.2330,-16.2330,16.60,875.30
15820,AO,data/atlantic/1999/09/nodc_R15820_071.nc,1999-09-23T23:58:36Z,1999-09-23T23:58:36Z,-6.5560,-6.5560,-16.7610,-16.7610,16.60,880.50
15851,AO,data/atlantic/1999/09/nodc_R15851_069.nc,1999-09-06T09:50:01Z,1999-09-06T09:50:01Z,-3.9340,-3.9340,-13.4730,-13.4730,13.80,894.50
15851,AO,data/atlantic/1999/09/nodc_R15851_070.nc,1999-09-17T10:53:10Z,1999-09-17T10:53:10Z,-3.6020,-3.6020,-13.2250,-13.2250,13.80,889.40
15851,AO,data/atlantic/1999/09/nodc_R15851_071.nc,1999-09-28T10:12:19Z,1999-09-28T10:12:19Z,-3.3340,-3.3340,-13.1340,-13.1340,13.80,894.50
15852,AO,data/atlantic/1999/09/nodc_R15852_069.nc,1999-09-05T07:54:17Z,1999-09-05T07:54:17Z,-6.8050,-6.8050,-7.0910,-7.0910,8.90,908.20
15852,AO,data/atlantic/1999/09/nodc_R15852_070.nc,1999-09-16T07:11:07Z,1999-09-16T07:11:07Z,-7.0730,-7.0730,-7.4220,-7.4220,8.90,903.10
15852,AO,data/atlantic/1999/09/nodc_R15852_071.nc,1999-09-27T08:06:00Z,1999-09-27T08:06:00Z,-7.1620,-7.1620,-7.8120,-7.8120,8.90,872.30
15853,AO,data/atlantic/1999/09/nodc_R15853_069.nc,1999-09-04T15:24:54Z,1999-09-04T15:24:54Z,-6.2960,-6.2960,-12.7160,-12.7160,11.10,861.80
15853,AO,data/atlantic/1999/09/nodc_R15853_070.nc,1999-09-15T15:02:35Z,1999-09-15T15:02:35Z,-6.4610,-6.4610,-12.8430,-12.8430,11.10,878.10
15853,AO,data/atlantic/1999/09/nodc_R15853_071.nc,1999-09-26T14:41:41Z,1999-09-26T14:41:41Z,-6.9010,-6.9010,-12.7220,-12.7220,11.10,878.10
31810,AO,data/atlantic/1999/09/nodc_R31810_071.nc,1999-09-10T08:01:50Z,1999-09-10T08:01:50Z,6.1230,6.1230,-35.9940,-35.9940,798.00,977.30
31810,AO,data/atlantic/1999/09/nodc_R31810_072.nc,1999-09-21T07:17:50Z,1999-09-21T07:17:50Z,6.5370,6.5370,-36.6930,-36.6930,848.40,994.10
31855,AO,data/atlantic/1999/09/nodc_R31855_071.nc,1999-09-11T15:54:49Z,1999-09-11T15:54:49Z,5.2470,5.2470,-28.9710,-28.9710,58.20,985.50
31855,AO,data/atlantic/1999/09/nodc_R31855_072.nc,1999-09-22T17:06:20Z,1999-09-22T17:06:20Z,4.9760,4.9760,-29.3360,-29.3360,37.00,974.90
31857,AO,data/atlantic/1999/09/nodc_R31857_070.nc,1999-09-10T04:57:14Z,1999-09-10T04:57:14Z,-4.1120,-4.1120,-30.2210,-30.2210,15.00,878.20
31857,AO,data/atlantic/1999/09/nodc_R31857_071.nc,1999-09-21T04:34:14Z,1999-09-21T04:34:14Z,-3.8220,-3.8220,-30.9860,-30.9860,15.00,878.20
31859,AO,data/atlantic/1999/09/nodc_R31859_070.nc,1999-09-08T21:02:03Z,1999-09-08T21:02:03Z,-9.5600,-9.5600,-32.3170,-32.3170,22.00,905.30
31859,AO,data/atlantic/1999/09/nodc_R31859_071.nc,1999-09-19T21:58:50Z,1999-09-19T21:58:50Z,-8.9590,-8.9590,-33.1200,-33.1200,22.00,910.70
31859,AO,data/atlantic/1999/09/nodc_R31859_072.nc,1999-09-30T21:14:23Z,1999-09-30T21:14:23Z,-9.1400,-9.1400,-33.9030,-33.9030,22.00,921.60
69005,IF,data/atlantic/1999/09/nodc_D69005_000D.nc,1999-09-28T10:41:00Z,1999-09-28T10:41:00Z,46.0000,46.0000,-16.0050,-16.0050,7.00,1720.00
69019,IF,data/atlantic/1999/09/nodc_D69019_005.nc,1999-09-01T22:21:00Z,1999-09-01T22:21:00Z,50.7850,50.7850,-25.5770,-25.5770,6.20,1507.00
