floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
1900022,AO,data/atlantic/2004/06/nodc_D1900022_082.nc,2004-06-02T01:18:23Z,2004-06-02T01:18:23Z,26.6450,26.6450,-64.8520,-64.8520,10.00,1150.00
1900022,AO,data/atlantic/2004/06/nodc_D1900022_083.nc,2004-06-12T00:53:50Z,2004-06-12T00:53:50Z,26.8920,26.8920,-64.6590,-64.6590,10.00,1150.00
1900022,AO,data/atlantic/2004/06/nodc_D1900022_084.nc,2004-06-22T02:02:28Z,2004-06-22T02:02:28Z,26.6190,26.6190,-64.5180,-64.5180,10.00,1150.00
1900037,AO,data/atlantic/2004/06/nodc_D1900037_091.nc,2004-06-07T23:02:09Z,2004-06-07T23:02:09Z,32.4410,32.4410,-33.9430,-33.9430,10.00,950.00
1900037,AO,data/atlantic/2004/06/nodc_D1900037_092.nc,2004-06-17T22:38:36Z,2004-06-17T22:38:36Z,32.9310,32.9310,-33.8180,-33.8180,10.00,950.00
1900037,AO,data/atlantic/2004/06/nodc_D1900037_093.nc,2004-06-27T22:14:06Z,2004-06-27T22:14:06Z,32.3640,32.3640,-33.7050,-33.7050,10.00,950.00
1900039,AO,data/atlantic/2004/06/nodc_D1900039_091.nc,2004-06-08T14:41:41Z,2004-06-08T14:41:41Z,35.8490,35.8490,-53.2370,-53.2370,10.00,950.00
1900039,AO,data/atlantic/2004/06/nodc_D1900039_092.nc,2004-06-18T15:55:34Z,2004-06-18T15:55:34Z,35.5900,35.5900,-54.4910,-54.4910,10.00,950.00
1900039,AO,data/atlantic/2004/06/nodc_D1900039_093.nc,2004-06-28T15:27:24Z,2004-06-28T15:27:24Z,35.9100,35.9100,-54.1300,-54.1300,10.00,950.00
1900041,AO,data/atlantic/2004/06/nodc_D1900041_082.nc,2004-06-01T03:13:25Z,2004-06-01T03:13:25Z,35.3350,35.3350,-16.1640,-16.1640,10.00,850.00
1900041,AO,data/atlantic/2004/06/nodc_D1900041_083.nc,2004-06-11T04:36:52Z,2004-06-11T04:36:52Z,35.5370,35.5370,-16.3960,-16.3960,10.00,850.00
1900041,AO,data/atlantic/2004/06/nodc_D1900041_084.nc,2004-06-21T04:24:39Z,2004-06-21T04:24:39Z,35.6850,35.6850,-16.8420,-16.8420,10.00,850.00
1900058,AO,data/atlantic/2004/06/nodc_D1900058_057.nc,2004-06-02T00:58:50Z,2004-06-02T00:58:50Z,-33.7980,-33.7980,-19.6350,-19.6350,10.00,1200.00
1900058,AO,data/atlantic/2004/06/nodc_D1900058_058.nc,2004-06-12T04:47:33Z,2004-06-12T04:47:33Z,-33.6300,-33.6300,-19.9020,-19.9020,10.00,1200.00
1900058,AO,data/atlantic/2004/06/nodc_D1900058_059.nc,2004-06-22T09:42:23Z,2004-06-22T09:42:23Z,-33.6940,-33.6940,-20.1060,-20.1060,10.00,1200.00
1900059,AO,data/atlantic/2004/06/nodc_D1900059_054.nc,2004-06-07T02:15:10Z,2004-06-07T02:15:10Z,-8.6560,-8.6560,-18.7350,-18.7350,10.00,1150.00
1900059,AO,data/atlantic/2004/06/nodc_D1900059_055.nc,2004-06-17T09:51:47Z,2004-06-17T09:51:47Z,-8.9010,-8.9010,-18.9010,-18.9010,10.00,1150.00
1900059,AO,data/atlantic/2004/06/nodc_D1900059_056.nc,2004-06-27T11:00:19Z,2004-06-27T11:00:19Z,-9.2180,-9.2180,-18.8930,-18.8930,10.00,1150.00
1900060,AO,data/atlantic/2004/06/nodc_D1900060_054.nc,2004-06-05T11:00:43Z,2004-06-05T11:00:43Z,-11.7890,-11.7890,-18.5220,-18.5220,10.00,1000.00
1900060,AO,data/atlantic/2004/06/nodc_D1900060_055.nc,2004-06-15T15:02:04Z,2004-06-15T15:02:04Z,-11.6540,-11.6540,-18.7450,-18.7450,10.00,1000.00
1900060,AO,data/atlantic/2004/06/nodc_D1900060_056.nc,2004-06-25T22:39:25Z,2004-06-25T22:39:25Z,-11.5190,-11.5190,-19.0260,-19.0260,10.00,1000.00
1900061,AO,data/atlantic/2004/06/nodc_D1900061_054.nc,2004-06-04T02:49:18Z,2004-06-04T02:49:18Z,-20.0060,-20.0060,-8.3850,-8.3850,10.00,1400.00
1900061,AO,data/atlantic/2004/06/nodc_D1900061_055.nc,2004-06-14T09:20:29Z,2004-06-14T09:20:29Z,-20.1750,-20.1750,-8.6060,-8.6060,10.00,1400.00
1900061,AO,data/atlantic/2004/06/nodc_D1900061_056.nc,2004-06-24T10:30:21Z,2004-06-24T10:30:21Z,-20.4240,-20.4240,-8.6220,-8.6220,10.00,1400.00
1900062,AO,data/atlantic/2004/06/nodc_D1900062_053.nc,2004-06-08T09:55:51Z,2004-06-08T09:55:51Z,-19.9400,-19.9400,-12.2330,-12.2330,10.00,1100.00
1900062,AO,data/atlantic/2004/06/nodc_D1900062_054.nc,2004-06-18T21:57:37Z,2004-06-18T21:57:37Z,-19.8310,-19.8310,-12.0830,-12.0830,10.00,1100.00
1900062,AO,data/atlantic/2004/06/nodc_D1900062_055.nc,2004-06-29T10:17:44Z,2004-06-29T10:17:44Z,-19.5390,-19.5390,-11.9860,-11.9860,10.00,1100.00
1900165,AO,data/atlantic/2004/06/nodc_D1900165_051.nc,2004-06-08T14:33:25Z,2004-06-08T14:33:25Z,-35.7930,-35.7930,13.7750,13.7750,10.00,1050.00
1900165,AO,data/atlantic/2004/06/nodc_D1900165_052.nc,2004-06-18T20:10:43Z,2004-06-18T20:10:43Z,-35.2990,-35.2990,13.3410,13.3410,10.00,1050.00
1900165,AO,data/atlantic/2004/06/nodc_D1900165_053.nc,2004-06-28T21:22:07Z,2004-06-28T21:22:07Z,-34.7460,-34.7460,12.0450,12.0450,10.00,1100.00
1900166,AO,data/atlantic/2004/06/nodc_D1900166_047.nc,2004-06-01T10:51:06Z,2004-06-01T10:51:06Z,2.8360,2.8360,-10.8040,-10.8040,10.00,1100.00
1900166,AO,data/atlantic/2004/06/nodc_D1900166_048.nc,2004-06-11T10:20:37Z,2004-06-11T10:20:37Z,2.8180,2.8180,-10.5980,-10.5980,10.00,1100.00
1900166,AO,data/atlantic/2004/06/nodc_D1900166_049.nc,2004-06-21T13:57:46Z,2004-06-21T13:57:46Z,3.3500,3.3500,-10.3770,-10.3770,10.00,1100.00
1900204,AO,data/atlantic/2004/06/nodc_D1900204_037.nc,2004-06-03T13:54:57Z,2004-06-03T13:54:57Z,-29.9430,-29.9430,-15.8250,-15.8250,10.00,1250.00
1900204,AO,data/atlantic/2004/06/nodc_D1900204_038.nc,2004-06-13T22:09:26Z,2004-06-13T22:09:26Z,-29.8590,-29.8590,-15.7180,-15.7180,10.00,1250.00
1900204,AO,data/atlantic/2004/06/nodc_D1900204_039.nc,2004-06-23T21:44:58Z,2004-06-23T21:44:58Z,-30.0400,-30.0400,-15.6410,-15.6410,10.00,1250.00
1900240,AO,data/atlantic/2004/06/nodc_D1900240_037.nc,2004-06-04T23:52:04Z,2004-06-04T23:52:04Z,-34.4170,-34.4170,-30.6060,-30.6060,10.00,1250.00
1900240,AO,data/atlantic/2004/06/nodc_D1900240_038.nc,2004-06-15T04:10:28Z,2004-06-15T04:10:28Z,-34.5150,-34.5150,-30.5690,-30.5690,10.00,1250.00
1900240,AO,data/atlantic/2004/06/nodc_D1900240_039.nc,2004-06-25T10:16:18Z,2004-06-25T10:16:18Z,-34.5100,-34.5100,-30.4110,-30.4110,10.00,1250.00
