floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
13857,AO,data/atlantic/2001/06/nodc_R13857_129.nc,2001-06-06T20:11:58Z,2001-06-06T20:11:58Z,4.2660,4.2660,-27.5780,-27.5780,67.90,1042.60
13857,AO,data/atlantic/2001/06/nodc_R13857_130.nc,2001-06-17T21:43:05Z,2001-06-17T21:43:05Z,4.8090,4.8090,-27.3070,-27.3070,57.70,1042.60
13857,AO,data/atlantic/2001/06/nodc_R13857_131.nc,2001-06-28T20:50:27Z,2001-06-28T20:50:27Z,5.0020,5.0020,-26.8110,-26.8110,67.90,1032.50
13859,AO,data/atlantic/2001/06/nodc_R13859_129.nc,2001-06-07T12:27:58Z,2001-06-07T12:27:58Z,4.1660,4.1660,-28.8950,-28.8950,76.30,970.50
13859,AO,data/atlantic/2001/06/nodc_R13859_130.nc,2001-06-18T11:50:58Z,2001-06-18T11:50:58Z,3.8570,3.8570,-29.0980,-29.0980,87.20,965.10
13859,AO,data/atlantic/2001/06/nodc_R13859_131.nc,2001-06-29T12:39:53Z,2001-06-29T12:39:53Z,3.9730,3.9730,-29.3650,-29.3650,87.20,954.20
15820,AO,data/atlantic/2001/06/nodc_R15820_128.nc,2001-06-12T00:19:45Z,2001-06-12T00:19:45Z,-3.8410,-3.8410,-23.0430,-23.0430,16.60,870.00
15820,AO,data/atlantic/2001/06/nodc_R15820_129.nc,2001-06-23T01:20:26Z,2001-06-23T01:20:26Z,-4.9000,-4.9000,-23.1750,-23.1750,16.60,880.50
19019,AO,data/atlantic/2001/06/nodc_D19019_016.nc,2001-06-05T00:09:23Z,2001-06-05T00:09:23Z,-16.4200,-16.4200,-9.8050,-9.8050,4.30,999.40
19019,AO,data/atlantic/2001/06/nodc_D19019_017.nc,2001-06-15T14:01:27Z,2001-06-15T14:01:27Z,-16.4970,-16.4970,-9.7360,-9.7360,4.30,979.30
19019,AO,data/atlantic/2001/06/nodc_D19019_018.nc,2001-06-26T02:51:34Z,2001-06-26T02:51:34Z,-16.5300,-16.5300,-9.7760,-9.7760,4.30,979.40
19020,AO,data/atlantic/2001/06/nodc_D19020_016.nc,2001-06-05T11:18:36Z,2001-06-05T11:18:36Z,-16.7030,-16.7030,-12.9540,-12.9540,5.20,999.70
