floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
1900022,AO,data/atlantic/2004/04/nodc_D1900022_076.nc,2004-04-03T00:42:10Z,2004-04-03T00:42:10Z,24.7510,24.7510,-62.5890,-62.5890,10.00,1200.00
1900022,AO,data/atlantic/2004/04/nodc_D1900022_077.nc,2004-04-13T00:17:45Z,2004-04-13T00:17:45Z,24.9850,24.9850,-62.9520,-62.9520,10.00,1200.00
1900022,AO,data/atlantic/2004/04/nodc_D1900022_078.nc,2004-04-23T01:25:59Z,2004-04-23T01:25:59Z,25.0740,25.0740,-63.4380,-63.4380,10.00,1150.00
1900037,AO,data/atlantic/2004/04/nodc_D1900037_085.nc,2004-04-08T16:25:02Z,2004-04-08T16:25:02Z,32.3390,32.3390,-30.6810,-30.6810,10.00,950.00
1900037,AO,data/atlantic/2004/04/nodc_D1900037_086.nc,2004-04-18T16:11:42Z,2004-04-18T16:11:42Z,32.3900,32.3900,-30.6470,-30.6470,10.00,950.00
1900037,AO,data/atlantic/2004/04/nodc_D1900037_087.nc,2004-04-28T17:43:00Z,2004-04-28T17:43:00Z,32.9330,32.9330,-31.0820,-31.0820,10.00,950.00
1900039,AO,data/atlantic/2004/04/nodc_D1900039_085.nc,2004-04-09T12:26:13Z,2004-04-09T12:26:13Z,34.0930,34.0930,-51.4900,-51.4900,10.00,900.00
1900039,AO,data/atlantic/2004/04/nodc_D1900039_086.nc,2004-04-19T12:03:55Z,2004-04-19T12:03:55Z,34.9600,34.9600,-51.4960,-51.4960,10.00,950.00
1900039,AO,data/atlantic/2004/04/nodc_D1900039_087.nc,2004-04-29T13:10:41Z,2004-04-29T13:10:41Z,35.0420,35.0420,-52.2000,-52.2000,10.00,950.00
1900040,AO,data/atlantic/2004/04/nodc_D1900040_085.nc,2004-04-09T17:58:55Z,2004-04-09T17:58:55Z,29.4690,29.4690,-40.1000,-40.1000,10.00,1700.00
