floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
13859,AO,data/atlantic/2001/11/nodc_R13859_143.nc,2001-11-08T13:37:15Z,2001-11-08T13:37:15Z,5.2720,5.2720,-28.5040,-28.5040,106.20,975.90
13859,AO,data/atlantic/2001/11/nodc_R13859_144.nc,2001-11-19T12:48:46Z,2001-11-19T12:48:46Z,5.6090,5.6090,-27.9650,-27.9650,111.70,981.40
13859,AO,data/atlantic/2001/11/nodc_R13859_145.nc,2001-11-30T13:44:14Z,2001-11-30T13:44:14Z,5.2320,5.2320,-27.3630,-27.3630,103.50,981.40
15820,AO,data/atlantic/2001/11/nodc_R15820_141.nc,2001-11-02T00:31:34Z,2001-11-02T00:31:34Z,-5.1720,-5.1720,-26.5620,-26.5620,11.30,880.50
15820,AO,data/atlantic/2001/11/nodc_R15820_142.nc,2001-11-13T01:27:55Z,2001-11-13T01:27:55Z,-5.6480,-5.6480,-26.5160,-26.5160,11.30,891.10
15820,AO,data/atlantic/2001/11/nodc_R15820_143.nc,2001-11-24T00:42:28Z,2001-11-24T00:42:28Z,-6.0970,-6.0970,-26.3710,-26.3710,11.30,885.80
1900033,AO,data/atlantic/2001/11/nodc_D1900033_005.nc,2001-11-10T02:16:57Z,2001-11-10T02:16:57Z,14.2490,14.2490,-32.8330,-32.8330,10.00,1100.00
1900033,AO,data/atlantic/2001/11/nodc_D1900033_006.nc,2001-11-19T22:45:50Z,2001-11-19T22:45:50Z,14.1750,14.1750,-32.9980,-32.9980,10.00,1100.00
1900033,AO,data/atlantic/2001/11/nodc_D1900033_007.nc,2001-11-30T03:43:12Z,2001-11-30T03:43:12Z,14.0030,14.0030,-33.0760,-33.0760,10.00,1100.00
1900034,AO,data/atlantic/2001/11/nodc_D1900034_005.nc,2001-11-09T08:48:03Z,2001-11-09T08:48:03Z,9.2330,9.2330,-29.6390,-29.6390,10.00,1150.00
1900034,AO,data/atlantic/2001/11/nodc_D1900034_006.nc,2001-11-19T08:18:55Z,2001-11-19T08:18:55Z,9.1150,9.1150,-29.4740,-29.4740,10.00,1200.00
1900034,AO,data/atlantic/2001/11/nodc_D1900034_007.nc,2001-11-29T07:51:50Z,2001-11-29T07:51:50Z,9.1430,9.1430,-29.1970,-29.1970,10.00,1200.00
1900035,AO,data/atlantic/2001/11/nodc_D1900035_004.nc,2001-11-01T05:27:27Z,2001-11-01T05:27:27Z,19.2520,19.2520,-41.8650,-41.8650,10.00,1150.00
1900035,AO,data/atlantic/2001/11/nodc_D1900035_005.nc,2001-11-11T05:35:13Z,2001-11-11T05:35:13Z,19.0510,19.0510,-42.2240,-42.2240,10.00,1100.00
1900035,AO,data/atlantic/2001/11/nodc_D1900035_006.nc,2001-11-21T09:12:07Z,2001-11-21T09:12:07Z,18.9040,18.9040,-42.4080,-42.4080,10.00,1150.00
19019,AO,data/atlantic/2001/11/nodc_D19019_031.nc,2001-11-10T04:04:05Z,2001-11-10T04:04:05Z,-16.6320,-16.6320,-10.1050,-10.1050,4.30,999.00
19019,AO,data/atlantic/2001/11/nodc_D19019_032.nc,2001-11-20T16:33:41Z,2001-11-20T16:33:41Z,-16.6090,-16.6090,-10.0380,-10.0380,4.50,999.70
31859,AO,data/atlantic/2001/11/nodc_R31859_142.nc,2001-11-08T21:57:47Z,2001-11-08T21:57:47Z,-13.4930,-13.4930,-35.8790,-35.8790,27.40,883.50
31859,AO,data/atlantic/2001/11/nodc_R31859_143.nc,2001-11-19T22:36:11Z,2001-11-19T22:36:11Z,-12.8590,-12.8590,-36.2810,-36.2810,27.40,889.00
31859,AO,data/atlantic/2001/11/nodc_R31859_144.nc,2001-11-30T23:27:42Z,2001-11-30T23:27:42Z,-12.8320,-12.8320,-36.9750,-36.9750,27.40,899.80
39009,AO,data/atlantic/2001/11/nodc_R39009_062.nc,2001-11-09T22:20:51Z,2001-11-09T22:20:51Z,-8.4850,-8.4850,-28.1120,-28.1120,4.00,999.20
39009,AO,data/atlantic/2001/11/nodc_R39009_063.nc,2001-11-20T16:22:16Z,2001-11-20T16:22:16Z,-8.6180,-8.6180,-27.9530,-27.9530,4.00,1013.80
39013,AO,data/atlantic/2001/11/nodc_R39013_061.nc,2001-11-04T21:29:39Z,2001-11-04T21:29:39Z,-3.6760,-3.6760,-26.8990,-26.8990,4.00,1011.00
39013,AO,data/atlantic/2001/11/nodc_R39013_062.nc,2001-11-15T15:28:46Z,2001-11-15T15:28:46Z,-4.0090,-4.0090,-26.9870,-26.9870,4.00,1010.90
39013,AO,data/atlantic/2001/11/nodc_R39013_063.nc,2001-11-26T09:21:26Z,2001-11-26T09:21:26Z,-4.3720,-4.3720,-27.0590,-27.0590,4.00,1003.30
39016,AO,data/atlantic/2001/11/nodc_R39016_061.nc,2001-11-04T15:23:03Z,2001-11-04T15:23:03Z,3.9310,3.9310,-20.1000,-20.1000,4.00,998.30
39016,AO,data/atlantic/2001/11/nodc_R39016_062.nc,2001-11-15T09:42:23Z,2001-11-15T09:42:23Z,3.5770,3.5770,-20.3470,-20.3470,4.00,998.70
39016,AO,data/atlantic/2001/11/nodc_R39016_063.nc,2001-11-26T02:58:07Z,2001-11-26T02:58:07Z,3.4330,3.4330,-20.6720,-20.6720,4.00,1014.00
39017,AO,data/atlantic/2001/11/nodc_R39017_061.nc,2001-11-01T09:26:33Z,2001-11-01T09:26:33Z,5.1330,5.1330,-21.0510,-21.0510,4.00,1010.40
39017,AO,data/atlantic/2001/11/nodc_R39017_062.nc,2001-11-12T03:34:36Z,2001-11-12T03:34:36Z,5.2200,5.2200,-20.4740,-20.4740,4.00,1001.20
39017,AO,data/atlantic/2001/11/nodc_R39017_063.nc,2001-11-22T21:22:42Z,2001-11-22T21:22:42Z,5.3740,5.3740,-20.8440,-20.8440,4.00,1003.60
39037,AO,data/atlantic/2001/11/nodc_D39037_031.nc,2001-11-06T10:46:53Z,2001-11-06T10:46:53Z,4.2090,4.2090,-32.1290,-32.1290,4.40,999.00
39037,AO,data/atlantic/2001/11/nodc_D39037_032.nc,2001-11-17T00:34:22Z,2001-11-17T00:34:22Z,4.1990,4.1990,-32.0180,-32.0180,4.40,999.00
39037,AO,data/atlantic/2001/11/nodc_D39037_033.nc,2001-11-27T15:29:36Z,2001-11-27T15:29:36Z,3.9090,3.9090,-32.1360,-32.1360,4.30,1949.30
39038,AO,data/atlantic/2001/11/nodc_D39038_031.nc,2001-11-07T21:07:00Z,2001-11-07T21:07:00Z,-4.2810,-4.2810,-31.6900,-31.6900,4.40,999.30
39038,AO,data/atlantic/2001/11/nodc_D39038_032.nc,2001-11-18T10:26:01Z,2001-11-18T10:26:01Z,-4.6240,-4.6240,-31.8630,-31.8630,4.40,999.00
39038,AO,data/atlantic/2001/11/nodc_D39038_033.nc,2001-11-29T01:12:18Z,2001-11-29T01:12:18Z,-5.1090,-5.1090,-32.0040,-32.0040,4.30,1999.70
39039,AO,data/atlantic/2001/11/nodc_D39039_031.nc,2001-11-09T06:17:39Z,2001-11-09T06:17:39Z,-11.1010,-11.1010,-26.0450,-26.0450,4.90,999.20
39039,AO,data/atlantic/2001/11/nodc_D39039_032.nc,2001-11-19T18:35:06Z,2001-11-19T18:35:06Z,-11.2140,-11.2140,-26.3850,-26.3850,4.90,999.20
