floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
1900022,AO,data/atlantic/2003/08/nodc_D1900022_052.nc,2003-08-05T23:44:29Z,2003-08-05T23:44:29Z,21.2550,21.2550,-56.8930,-56.8930,10.00,1000.00
1900022,AO,data/atlantic/2003/08/nodc_D1900022_053.nc,2003-08-16T04:29:39Z,2003-08-16T04:29:39Z,21.4760,21.4760,-57.0210,-57.0210,10.00,1000.00
1900022,AO,data/atlantic/2003/08/nodc_D1900022_054.nc,2003-08-26T01:30:51Z,2003-08-26T01:30:51Z,21.7990,21.7990,-57.2380,-57.2380,10.00,1000.00
1900033,AO,data/atlantic/2003/08/nodc_D1900033_068.nc,2003-08-04T03:28:20Z,2003-08-04T03:28:20Z,10.7020,10.7020,-45.4770,-45.4770,10.00,1000.00
1900037,AO,data/atlantic/2003/08/nodc_D1900037_061.nc,2003-08-11T19:43:09Z,2003-08-11T19:43:09Z,31.7330,31.7330,-33.5460,-33.5460,10.00,950.00
1900040,AO,data/atlantic/2003/08/nodc_D1900040_060.nc,2003-08-03T03:28:18Z,2003-08-03T03:28:18Z,30.6990,30.6990,-36.9530,-36.9530,10.00,1000.00
1900040,AO,data/atlantic/2003/08/nodc_D1900040_061.nc,2003-08-13T04:55:45Z,2003-08-13T04:55:45Z,30.3340,30.3340,-36.5700,-36.5700,10.00,1000.00
1900040,AO,data/atlantic/2003/08/nodc_D1900040_062.nc,2003-08-23T04:43:16Z,2003-08-23T04:43:16Z,30.0630,30.0630,-36.6170,-36.6170,10.00,1700.00
1900057,AO,data/atlantic/2003/08/nodc_D1900057_027.nc,2003-08-04T01:53:24Z,2003-08-04T01:53:24Z,-31.9400,-31.9400,-18.2270,-18.2270,10.00,1100.00
1900057,AO,data/atlantic/2003/08/nodc_D1900057_028.nc,2003-08-14T05:56:39Z,2003-08-14T05:56:39Z,-32.1980,-32.1980,-17.8720,-17.8720,10.00,1100.00
1900057,AO,data/atlantic/2003/08/nodc_D1900057_029.nc,2003-08-24T09:59:52Z,2003-08-24T09:59:52Z,-32.2240,-32.2240,-17.6140,-17.6140,10.00,1100.00
1900058,AO,data/atlantic/2003/08/nodc_D1900058_027.nc,2003-08-02T05:38:07Z,2003-08-02T05:38:07Z,-34.6770,-34.6770,-12.6820,-12.6820,10.00,1250.00
1900058,AO,data/atlantic/2003/08/nodc_D1900058_028.nc,2003-08-12T09:59:24Z,2003-08-12T09:59:24Z,-34.7040,-34.7040,-13.1880,-13.1880,10.00,1250.00
1900058,AO,data/atlantic/2003/08/nodc_D1900058_029.nc,2003-08-22T14:15:44Z,2003-08-22T14:15:44Z,-34.8300,-34.8300,-13.5380,-13.5380,10.00,1250.00
1900059,AO,data/atlantic/2003/08/nodc_D1900059_024.nc,2003-08-07T08:34:51Z,2003-08-07T08:34:51Z,-7.8680,-7.8680,-16.0850,-16.0850,10.00,1150.00
1900059,AO,data/atlantic/2003/08/nodc_D1900059_025.nc,2003-08-17T13:43:02Z,2003-08-17T13:43:02Z,-7.7550,-7.7550,-16.1010,-16.1010,10.00,1150.00
1900059,AO,data/atlantic/2003/08/nodc_D1900059_026.nc,2003-08-27T16:53:09Z,2003-08-27T16:53:09Z,-7.7080,-7.7080,-16.0200,-16.0200,10.00,1150.00
1900060,AO,data/atlantic/2003/08/nodc_D1900060_024.nc,2003-08-05T15:57:11Z,2003-08-05T15:57:11Z,-11.4730,-11.4730,-10.5770,-10.5770,10.00,1150.00
1900060,AO,data/atlantic/2003/08/nodc_D1900060_025.nc,2003-08-15T19:43:42Z,2003-08-15T19:43:42Z,-11.4890,-11.4890,-10.7000,-10.7000,10.00,1150.00
1900060,AO,data/atlantic/2003/08/nodc_D1900060_026.nc,2003-08-25T23:38:22Z,2003-08-25T23:38:22Z,-11.4250,-11.4250,-10.8740,-10.8740,10.00,1100.00
1900061,AO,data/atlantic/2003/08/nodc_D1900061_024.nc,2003-08-04T06:24:56Z,2003-08-04T06:24:56Z,-20.8190,-20.8190,-0.6380,-0.6380,10.00,1400.00
