floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
1900057,AO,data/atlantic/2005/07/nodc_D1900057_096.nc,2005-07-05T01:25:18Z,2005-07-05T01:25:18Z,-29.7280,-29.7280,-27.5620,-27.5620,10.00,1200.00
1900057,AO,data/atlantic/2005/07/nodc_D1900057_097.nc,2005-07-15T05:48:06Z,2005-07-15T05:48:06Z,-29.7550,-29.7550,-27.6850,-27.6850,10.00,1200.00
1900057,AO,data/atlantic/2005/07/nodc_D1900057_098.nc,2005-07-25T09:22:17Z,2005-07-25T09:22:17Z,-29.9410,-29.9410,-28.0080,-28.0080,10.00,1250.00
1900058,AO,data/atlantic/2005/07/nodc_D1900058_096.nc,2005-07-03T04:55:14Z,2005-07-03T04:55:14Z,-33.3110,-33.3110,-21.6300,-21.6300,10.00,1250.00
1900058,AO,data/atlantic/2005/07/nodc_D1900058_097.nc,2005-07-13T08:58:39Z,2005-07-13T08:58:39Z,-33.1390,-33.1390,-21.6740,-21.6740,10.00,1250.00
1900058,AO,data/atlantic/2005/07/nodc_D1900058_098.nc,2005-07-23T12:39:02Z,2005-07-23T12:39:02Z,-33.0210,-33.0210,-21.8540,-21.8540,10.00,1250.00
1900059,AO,data/atlantic/2005/07/nodc_D1900059_093.nc,2005-07-08T05:21:21Z,2005-07-08T05:21:21Z,-9.0910,-9.0910,-25.2260,-25.2260,10.00,1150.00
1900059,AO,data/atlantic/2005/07/nodc_D1900059_094.nc,2005-07-18T09:30:17Z,2005-07-18T09:30:17Z,-9.1940,-9.1940,-25.4150,-25.4150,10.00,1150.00
1900059,AO,data/atlantic/2005/07/nodc_D1900059_095.nc,2005-07-28T14:45:22Z,2005-07-28T14:45:22Z,-9.3360,-9.3360,-25.3530,-25.3530,10.00,1150.00
1900060,AO,data/atlantic/2005/07/nodc_D1900060_093.nc,2005-07-06T15:02:09Z,2005-07-06T15:02:09Z,-12.4850,-12.4850,-24.6850,-24.6850,10.00,1000.00
1900060,AO,data/atlantic/2005/07/nodc_D1900060_095.nc,2005-07-26T21:21:10Z,2005-07-26T21:21:10Z,-12.3810,-12.3810,-24.6460,-24.6460,10.00,1000.00
1900165,AO,data/atlantic/2005/07/nodc_D1900165_090.nc,2005-07-09T17:56:27Z,2005-07-09T17:56:27Z,-23.5160,-23.5160,12.0450,12.0450,10.00,1100.00
1900165,AO,data/atlantic/2005/07/nodc_D1900165_091.nc,2005-07-19T21:21:32Z,2005-07-19T21:21:32Z,-23.3770,-23.3770,12.0160,12.0160,10.00,1100.00
1900165,AO,data/atlantic/2005/07/nodc_D1900165_092.nc,2005-07-30T01:08:55Z,2005-07-30T01:08:55Z,-23.3910,-23.3910,11.8340,11.8340,10.00,1100.00
1900166,AO,data/atlantic/2005/07/nodc_D1900166_086.nc,2005-07-06T03:59:20Z,2005-07-06T03:59:20Z,4.0980,4.0980,-0.6410,-0.6410,10.00,1350.00
1900166,AO,data/atlantic/2005/07/nodc_D1900166_087.nc,2005-07-16T07:46:17Z,2005-07-16T07:46:17Z,3.8210,3.8210,-0.5010,-0.5010,10.00,1250.00
1900166,AO,data/atlantic/2005/07/nodc_D1900166_088.nc,2005-07-26T13:26:21Z,2005-07-26T13:26:21Z,4.2460,4.2460,-0.0890,-0.0890,10.00,1200.00
1900204,AO,data/atlantic/2005/07/nodc_D1900204_076.nc,2005-07-04T18:44:02Z,2005-07-04T18:44:02Z,-32.0590,-32.0590,-26.0020,-26.0020,10.00,1250.00
1900204,AO,data/atlantic/2005/07/nodc_D1900204_077.nc,2005-07-14T22:53:42Z,2005-07-14T22:53:42Z,-32.2190,-32.2190,-26.2430,-26.2430,10.00,1250.00
1900204,AO,data/atlantic/2005/07/nodc_D1900204_078.nc,2005-07-25T02:08:17Z,2005-07-25T02:08:17Z,-32.3070,-32.3070,-26.4530,-26.4530,10.00,1250.00
1900240,AO,data/atlantic/2005/07/nodc_D1900240_076.nc,2005-07-06T04:17:20Z,2005-07-06T04:17:20Z,-33.8710,-33.8710,-25.7820,-25.7820,10.00,1200.00
1900240,AO,data/atlantic/2005/07/nodc_D1900240_077.nc,2005-07-16T08:26:24Z,2005-07-16T08:26:24Z,-33.9530,-33.9530,-25.5990,-25.5990,10.00,1200.00
1900240,AO,data/atlantic/2005/07/nodc_D1900240_078.nc,2005-07-26T13:02:31Z,2005-07-26T13:02:31Z,-34.0070,-34.0070,-25.3220,-25.3220,10.00,1200.00
1900241,AO,data/atlantic/2005/07/nodc_D1900241_076.nc,2005-07-07T20:30:26Z,2005-07-07T20:30:26Z,-36.9520,-36.9520,-37.8210,-37.8210,10.00,1300.00
1900241,AO,data/atlantic/2005/07/nodc_D1900241_077.nc,2005-07-18T01:25:11Z,2005-07-18T01:25:11Z,-36.7730,-36.7730,-36.9560,-36.9560,10.00,1300.00
1900241,AO,data/atlantic/2005/07/nodc_D1900241_078.nc,2005-07-28T04:57:56Z,2005-07-28T04:57:56Z,-37.5490,-37.5490,-35.8430,-35.8430,10.00,1300.00
1900242,AO,data/atlantic/2005/07/nodc_D1900242_075.nc,2005-07-03T22:09:43Z,2005-07-03T22:09:43Z,9.7260,9.7260,-46.0180,-46.0180,10.00,1050.00
1900242,AO,data/atlantic/2005/07/nodc_D1900242_076.nc,2005-07-14T01:30:14Z,2005-07-14T01:30:14Z,10.0960,10.0960,-46.1940,-46.1940,10.00,1050.00
1900242,AO,data/atlantic/2005/07/nodc_D1900242_077.nc,2005-07-24T05:31:55Z,2005-07-24T05:31:55Z,10.5450,10.5450,-46.5690,-46.5690,10.00,1050.00
1900243,AO,data/atlantic/2005/07/nodc_D1900243_076.nc,2005-07-09T12:53:35Z,2005-07-09T12:53:35Z,-38.8910,-38.8910,-20.9740,-20.9740,10.00,1350.00
1900243,AO,data/atlantic/2005/07/nodc_D1900243_077.nc,2005-07-19T15:43:02Z,2005-07-19T15:43:02Z,-38.9060,-38.9060,-21.1830,-21.1830,10.00,1350.00
1900243,AO,data/atlantic/2005/07/nodc_D1900243_078.nc,2005-07-29T19:59:25Z,2005-07-29T19:59:25Z,-38.8880,-38.8880,-21.2650,-21.2650,10.00,1350.00
1900246,AO,data/atlantic/2005/07/nodc_D1900246_071.nc,2005-07-05T10:33:43Z,2005-07-05T10:33:43Z,5.3280,5.3280,-10.7870,-10.7870,10.00,1150.00
1900246,AO,data/atlantic/2005/07/nodc_D1900246_072.nc,2005-07-15T13:42:29Z,2005-07-15T13:42:29Z,5.3250,5.3250,-10.6210,-10.6210,10.00,1150.00
1900246,AO,data/atlantic/2005/07/nodc_D1900246_073.nc,2005-07-25T18:25:18Z,2005-07-25T18:25:18Z,5.2910,5.2910,-10.5060,-10.5060,10.00,1150.00
1900248,AO,data/atlantic/2005/07/nodc_D1900248_073.nc,2005-07-07T11:41:41Z,2005-07-07T11:41:41Z,20.9880,20.9880,-30.0580,-30.0580,10.00,1100.00
1900248,AO,data/atlantic/2005/07/nodc_D1900248_074.nc,2005-07-17T12:52:07Z,2005-07-17T12:52:07Z,20.9860,20.9860,-30.1470,-30.1470,-4.50,1075.50
1900248,AO,data/atlantic/2005/07/nodc_D1900248_075.nc,2005-07-27T12:21:39Z,2005-07-27T12:21:39Z,20.9870,20.9870,-30.2640,-30.2640,10.00,1100.00
1900249,AO,data/atlantic/2005/07/nodc_D1900249_073.nc,2005-07-07T11:44:26Z,2005-07-07T11:44:26Z,10.4900,10.4900,-32.1360,-32.1360,10.00,1100.00
1900249,AO,data/atlantic/2005/07/nodc_D1900249_074.nc,2005-07-17T11:26:36Z,2005-07-17T11:26:36Z,10.7950,10.7950,-32.3720,-32.3720,3.50,1091.50
1900249,AO,data/atlantic/2005/07/nodc_D1900249_075.nc,2005-07-27T12:26:45Z,2005-07-27T12:26:45Z,11.0330,11.0330,-32.5100,-32.5100,4.00,1103.50
1900256,AO,data/atlantic/2005/07/nodc_D1900256_070.nc,2005-07-09T00:03:58Z,2005-07-09T00:03:58Z,7.2850,7.2850,-31.1620,-31.1620,10.00,1050.00
1900256,AO,data/atlantic/2005/07/nodc_D1900256_071.nc,2005-07-19T03:11:10Z,2005-07-19T03:11:10Z,7.6710,7.6710,-31.0840,-31.0840,10.00,1050.00
1900256,AO,data/atlantic/2005/07/nodc_D1900256_072.nc,2005-07-29T07:30:49Z,2005-07-29T07:30:49Z,8.0550,8.0550,-30.8930,-30.8930,10.00,1050.00
1900258,AO,data/atlantic/2005/07/nodc_D1900258_064.nc,2005-07-03T10:58:48Z,2005-07-03T10:58:48Z,18.6970,18.6970,-38.2820,-38.2820,10.00,380.00
1900258,AO,data/atlantic/2005/07/nodc_D1900258_065.nc,2005-07-13T12:06:29Z,2005-07-13T12:06:29Z,19.0730,19.0730,-37.9430,-37.9430,10.00,320.00
1900258,AO,data/atlantic/2005/07/nodc_D1900258_066.nc,2005-07-23T11:38:03Z,2005-07-23T11:38:03Z,19.3720,19.3720,-37.2300,-37.2300,155.80,995.80
1900259,AO,data/atlantic/2005/07/nodc_D1900259_064.nc,2005-07-05T12:08:25Z,2005-07-05T12:08:25Z,22.0340,22.0340,-32.2030,-32.2030,10.00,1000.00
1900259,AO,data/atlantic/2005/07/nodc_D1900259_065.nc,2005-07-15T11:40:59Z,2005-07-15T11:40:59Z,22.2930,22.2930,-32.6820,-32.6820,10.00,950.00
1900259,AO,data/atlantic/2005/07/nodc_D1900259_066.nc,2005-07-25T11:11:40Z,2005-07-25T11:11:40Z,22.5560,22.5560,-33.2280,-33.2280,10.00,1000.00
1900260,AO,data/atlantic/2005/07/nodc_D1900260_060.nc,2005-07-10T12:27:07Z,2005-07-10T12:27:07Z,-34.3680,-34.3680,-33.5070,-33.5070,10.00,1150.00
1900260,AO,data/atlantic/2005/07/nodc_D1900260_061.nc,2005-07-20T11:58:32Z,2005-07-20T11:58:32Z,-34.4590,-34.4590,-33.1600,-33.1600,10.00,1150.00
1900260,AO,data/atlantic/2005/07/nodc_D1900260_062.nc,2005-07-30T11:32:32Z,2005-07-30T11:32:32Z,-34.4530,-34.4530,-32.7070,-32.7070,2.50,1112.50
1900261,AO,data/atlantic/2005/07/nodc_D1900261_049.nc,2005-07-08T13:03:47Z,2005-07-08T13:03:47Z,-16.0540,-16.0540,-6.6980,-6.6980,5.00,1700.00
1900261,AO,data/atlantic/2005/07/nodc_D1900261_050.nc,2005-07-18T13:03:38Z,2005-07-18T13:03:38Z,-16.2050,-16.2050,-6.9690,-6.9690,5.00,1600.00
1900261,AO,data/atlantic/2005/07/nodc_D1900261_051.nc,2005-07-28T13:02:36Z,2005-07-28T13:02:36Z,-16.0250,-16.0250,-7.3940,-7.3940,5.00,1500.00
1900263,AO,data/atlantic/2005/07/nodc_D1900263_049.nc,2005-07-10T12:18:38Z,2005-07-10T12:18:38Z,-8.7930,-8.7930,-24.0630,-24.0630,60.00,1230.00
1900263,AO,data/atlantic/2005/07/nodc_D1900263_050.nc,2005-07-20T11:50:12Z,2005-07-20T11:50:12Z,-9.1770,-9.1770,-24.4030,-24.4030,60.00,1230.00
1900263,AO,data/atlantic/2005/07/nodc_D1900263_051.nc,2005-07-30T11:36:00Z,2005-07-30T11:36:00Z,-9.3790,-9.3790,-24.4490,-24.4490,60.00,1230.00
1900264,AO,data/atlantic/2005/07/nodc_D1900264_049.nc,2005-07-10T12:20:52Z,2005-07-10T12:20:52Z,-5.3280,-5.3280,-33.5330,-33.5330,60.00,1230.00
1900264,AO,data/atlantic/2005/07/nodc_D1900264_050.nc,2005-07-20T12:26:36Z,2005-07-20T12:26:36Z,-5.5260,-5.5260,-33.8540,-33.8540,60.00,1230.00
1900264,AO,data/atlantic/2005/07/nodc_D1900264_051.nc,2005-07-30T11:32:43Z,2005-07-30T11:32:43Z,-5.5950,-5.5950,-34.2840,-34.2840,60.00,1230.00
1900265,AO,data/atlantic/2005/07/nodc_D1900265_048.nc,2005-07-01T12:22:36Z,2005-07-01T12:22:36Z,1.2430,1.2430,-32.3240,-32.3240,60.00,1050.00
1900265,AO,data/atlantic/2005/07/nodc_D1900265_050.nc,2005-07-21T11:34:45Z,2005-07-21T11:34:45Z,0.8240,0.8240,-32.1870,-32.1870,60.00,990.00
1900265,AO,data/atlantic/2005/07/nodc_D1900265_051.nc,2005-07-31T11:41:30Z,2005-07-31T11:41:30Z,0.9680,0.9680,-33.3040,-33.3040,60.00,1050.00
1900359,AO,data/atlantic/2005/07/nodc_D1900359_047.nc,2005-07-08T12:54:44Z,2005-07-08T12:54:44Z,-34.4270,-34.4270,2.9570,2.9570,5.00,1700.00
1900359,AO,data/atlantic/2005/07/nodc_D1900359_048.nc,2005-07-18T12:56:20Z,2005-07-18T12:56:20Z,-34.4220,-34.4220,3.4980,3.4980,5.00,1700.00
1900359,AO,data/atlantic/2005/07/nodc_D1900359_049.nc,2005-07-28T12:55:35Z,2005-07-28T12:55:35Z,-34.1240,-34.1240,3.8000,3.8000,5.00,1650.00
1900360,AO,data/atlantic/2005/07/nodc_D1900360_047.nc,2005-07-07T13:05:09Z,2005-07-07T13:05:09Z,-34.0320,-34.0320,0.9900,0.9900,5.00,950.00
1900360,AO,data/atlantic/2005/07/nodc_D1900360_048.nc,2005-07-17T13:06:30Z,2005-07-17T13:06:30Z,-33.7480,-33.7480,1.1590,1.1590,5.00,1750.00
1900360,AO,data/atlantic/2005/07/nodc_D1900360_049.nc,2005-07-27T13:05:27Z,2005-07-27T13:05:27Z,-33.8080,-33.8080,1.0970,1.0970,5.00,1700.00
1900361,AO,data/atlantic/2005/07/nodc_D1900361_047.nc,2005-07-08T12:59:05Z,2005-07-08T12:59:05Z,-34.6260,-34.6260,-9.4800,-9.4800,5.00,65.00
1900361,AO,data/atlantic/2005/07/nodc_D1900361_048.nc,2005-07-18T12:58:59Z,2005-07-18T12:58:59Z,-34.5210,-34.5210,-9.6310,-9.6310,5.00,55.00
1900361,AO,data/atlantic/2005/07/nodc_D1900361_049.nc,2005-07-28T12:58:37Z,2005-07-28T12:58:37Z,-34.4630,-34.4630,-9.6060,-9.6060,5.00,55.00
1900366,AO,data/atlantic/2005/07/nodc_D1900366_033.nc,2005-07-01T12:22:45Z,2005-07-01T12:22:45Z,-2.3120,-2.3120,-21.2190,-21.2190,5.00,950.00
1900366,AO,data/atlantic/2005/07/nodc_D1900366_034.nc,2005-07-11T11:53:46Z,2005-07-11T11:53:46Z,-2.2940,-2.2940,-21.2710,-21.2710,5.00,1000.00
1900366,AO,data/atlantic/2005/07/nodc_D1900366_035.nc,2005-07-21T13:09:08Z,2005-07-21T13:09:08Z,-2.2060,-2.2060,-21.3330,-21.3330,5.00,1150.00
1900366,AO,data/atlantic/2005/07/nodc_D1900366_036.nc,2005-07-31T11:44:02Z,2005-07-31T11:44:02Z,-2.0030,-2.0030,-21.3870,-21.3870,5.00,1050.00
1900415,AO,data/atlantic/2005/07/nodc_D1900415_029.nc,2005-07-06T13:17:27Z,2005-07-06T13:17:27Z,-20.3320,-20.3320,0.7590,0.7590,5.00,1150.00
1900415,AO,data/atlantic/2005/07/nodc_D1900415_030.nc,2005-07-16T11:53:06Z,2005-07-16T11:53:06Z,-20.1360,-20.1360,0.7770,0.7770,5.00,1050.00
1900415,AO,data/atlantic/2005/07/nodc_D1900415_031.nc,2005-07-26T13:19:11Z,2005-07-26T13:19:11Z,-20.0700,-20.0700,0.7730,0.7730,5.00,1050.00
1900424,AO,data/atlantic/2005/07/nodc_D1900424_029.nc,2005-07-08T14:38:05Z,2005-07-08T14:38:05Z,-8.9100,-8.9100,-14.8740,-14.8740,5.00,1050.00
1900424,AO,data/atlantic/2005/07/nodc_D1900424_030.nc,2005-07-18T12:38:08Z,2005-07-18T12:38:08Z,-8.5760,-8.5760,-14.8880,-14.8880,5.00,1050.00
1900424,AO,data/atlantic/2005/07/nodc_D1900424_031.nc,2005-07-28T12:07:49Z,2005-07-28T12:07:49Z,-8.6630,-8.6630,-15.2160,-15.2160,5.00,1000.00
1900426,AO,data/atlantic/2005/07/nodc_D1900426_029.nc,2005-07-02T13:40:44Z,2005-07-02T13:40:44Z,4.0740,4.0740,-27.0640,-27.0640,5.00,1700.00
1900426,AO,data/atlantic/2005/07/nodc_D1900426_030.nc,2005-07-12T13:12:09Z,2005-07-12T13:12:09Z,4.1260,4.1260,-26.5360,-26.5360,5.00,1700.00
1900426,AO,data/atlantic/2005/07/nodc_D1900426_031.nc,2005-07-22T12:51:40Z,2005-07-22T12:51:40Z,4.4190,4.4190,-25.7640,-25.7640,5.00,1600.00
1900427,AO,data/atlantic/2005/07/nodc_D1900427_029.nc,2005-07-03T13:18:07Z,2005-07-03T13:18:07Z,9.1210,9.1210,-29.8430,-29.8430,5.00,1500.00
1900427,AO,data/atlantic/2005/07/nodc_D1900427_030.nc,2005-07-13T12:53:15Z,2005-07-13T12:53:15Z,9.3750,9.3750,-29.4970,-29.4970,5.00,1500.00
1900427,AO,data/atlantic/2005/07/nodc_D1900427_031.nc,2005-07-23T13:59:54Z,2005-07-23T13:59:54Z,9.3290,9.3290,-29.1670,-29.1670,5.00,1500.00
1900428,AO,data/atlantic/2005/07/nodc_D1900428_029.nc,2005-07-03T13:16:07Z,2005-07-03T13:16:07Z,13.3660,13.3660,-29.3070,-29.3070,5.00,1050.00
1900428,AO,data/atlantic/2005/07/nodc_D1900428_030.nc,2005-07-13T12:09:29Z,2005-07-13T12:09:29Z,13.4280,13.4280,-29.2590,-29.2590,5.00,1050.00
1900428,AO,data/atlantic/2005/07/nodc_D1900428_031.nc,2005-07-23T11:51:15Z,2005-07-23T11:51:15Z,13.3730,13.3730,-29.0910,-29.0910,5.00,1200.00
1900429,AO,data/atlantic/2005/07/nodc_D1900429_029.nc,2005-07-04T12:27:35Z,2005-07-04T12:27:35Z,16.2770,16.2770,-25.2430,-25.2430,5.00,800.00
1900429,AO,data/atlantic/2005/07/nodc_D1900429_030.nc,2005-07-14T12:21:43Z,2005-07-14T12:21:43Z,16.2240,16.2240,-25.1810,-25.1810,5.00,900.00
1900429,AO,data/atlantic/2005/07/nodc_D1900429_031.nc,2005-07-24T13:34:31Z,2005-07-24T13:34:31Z,15.9810,15.9810,-24.9630,-24.9630,5.00,900.00
1900430,AO,data/atlantic/2005/07/nodc_D1900430_029.nc,2005-07-04T12:24:31Z,2005-07-04T12:24:31Z,19.3530,19.3530,-24.9680,-24.9680,5.00,1050.00
1900430,AO,data/atlantic/2005/07/nodc_D1900430_030.nc,2005-07-14T11:54:24Z,2005-07-14T11:54:24Z,19.5330,19.5330,-25.3260,-25.3260,5.00,1050.00
1900430,AO,data/atlantic/2005/07/nodc_D1900430_031.nc,2005-07-24T11:51:51Z,2005-07-24T11:51:51Z,19.7500,19.7500,-25.6090,-25.6090,5.00,1050.00
1900431,AO,data/atlantic/2005/07/nodc_D1900431_029.nc,2005-07-05T12:09:24Z,2005-07-05T12:09:24Z,24.0770,24.0770,-23.4310,-23.4310,5.00,950.00
1900431,AO,data/atlantic/2005/07/nodc_D1900431_030.nc,2005-07-15T11:40:16Z,2005-07-15T11:40:16Z,24.4280,24.4280,-23.4420,-23.4420,5.00,1050.00
